date,mean,median,min,max,std,dataset
2021-07-31,36219.58157931035,6.165,-52.0,1161328.0,123512.33093279977,m3
2021-08-31,36935.56374482759,11.0,-22.3,1176513.0,125523.08911500653,m3
2021-09-30,37301.73193103448,11.2,-35.9,1184047.0,126551.44200593728,m3
2021-10-31,37627.58095172414,6.195,-43.0,1191314.0,127655.77318257597,m3
2021-11-30,37893.2428,6.35,-23.3,1200818.0,128660.17916919767,m3
2021-12-31,38403.23194482759,15.0,-25.7,1214534.0,130211.60706655745,m3
2022-01-31,38573.05435862069,8.0,-72.6,1230251.0,131586.3991979095,m3
2022-02-28,39057.94444137931,9.850000000000001,-35.2,1242568.0,133050.4879479189,m3
2022-03-31,40517.22151724138,23.85,-24.7,1253898.0,136380.69428449444,m3
2022-04-30,40319.18459310345,4.9,-48.1,1257862.0,136372.4855689764,m3
2022-05-31,40901.17737931035,8.4,-22.7,1258436.0,137801.99411399465,m3
2022-06-30,41525.60151724138,16.2,-28.5,1264691.0,139222.00016449622,m3
2022-07-31,40963.97208275862,4.875,-71.1,1270973.0,138574.47670040868,m3
2022-08-31,41490.769655172415,14.25,-45.1,1274539.0,139524.3235952564,m3
2022-09-30,41631.28135172414,9.4,-48.0,1277332.0,139883.12814062356,m3
2022-10-31,41834.074675862066,6.365,-52.1,1283660.0,140677.07863432285,m3
2022-11-30,41415.078455172414,5.0600000000000005,-62.4,1280862.0,139657.917118749,m3
2022-12-31,41649.27740689655,16.35,-27.3,1291737.0,140346.11735998554,m3
2023-01-31,41563.74591724138,7.5,-55.8,1297446.0,140804.6087572783,m3
2023-02-28,41468.30335862069,6.75,-32.6,1300912.0,140654.99805279978,m3
2023-03-31,42314.88013103448,24.85,-38.9,1312576.0,142358.5369458179,m3
2023-04-30,41819.98985517241,5.0,-37.8,1320187.0,141862.63626449945,m3
2023-05-31,42128.60424137931,9.350000000000001,-45.7,1320659.0,142552.9113823866,m3
2023-06-30,42666.31845517241,14.0,-35.5,1335170.0,144201.8221622014,m3
2023-07-31,41994.143537931035,4.715,-46.3,1339829.0,143514.64248371718,m3
2023-08-31,42658.15864137931,13.05,-28.4,1340742.0,144729.13437119257,m3
2023-09-30,42843.36644827586,9.0,-16.0,1352106.0,145561.09797471718,m3
2023-10-31,42497.74984137931,5.45,-51.3,1353877.0,145056.2994950957,m3
2023-11-30,42497.47728275862,5.65,-28.3,1366160.0,145577.51268310263,m3
2023-12-31,42665.81970344827,9.850000000000001,-27.9,1384271.0,146851.81557816337,m3
2024-01-31,42142.25415862069,7.0,-83.4,1382601.0,146185.07434560216,m3
2024-02-29,42478.393793103445,9.35,-18.8,1382681.0,146725.89647021613,m3
2024-03-31,43152.49991034483,16.45,-11.5,1391397.0,148185.38686714484,m3
2024-04-30,42928.07640689655,4.43,-54.6,1388048.0,147836.93043676668,m3
2024-05-31,42999.300710344825,5.55,-16.4,1384338.0,147886.58333874823,m3
2024-06-30,42835.20937931035,10.100000000000001,-51.0,1373981.0,146976.68901039686,m3
2024-07-31,42663.65839310345,4.455,-32.3,1373533.0,146793.31542065594,m3
2024-08-31,42922.570158620685,10.75,-23.6,1373875.0,147088.444216385,m3
2024-09-30,42883.15395862069,9.2,-20.6,1377419.0,147003.02302954855,m3
2024-10-31,42960.46739310345,5.4,-33.9,1383277.0,147432.8474055334,m3
2024-11-30,42586.09909655172,4.27,-17.8,1384359.0,146844.56693644903,m3
2024-12-31,42720.03545517241,13.71,-23.2,1385403.0,147034.42662957014,m3
2025-01-31,42617.577510344825,6.949999999999999,-50.2,1387932.0,147254.63813561667,m3
2025-02-28,42761.6903862069,7.85,-26.7,1389839.0,147481.78723678392,m3
2025-03-31,44066.47571034483,21.950000000000003,-20.1,1417867.0,151022.8572468713,m3
2025-04-30,43409.743751724134,3.9,-65.4,1415855.0,149963.616632852,m3
2025-05-31,44607.97275862069,7.8999999999999995,-11.0,1459485.0,154360.24068011984,m3
