movie_title,original_title,director_name,actor_1_name,actor_2_name,actor_3_name,budget,gross,title_year,release_date,duration,vote_average,vote_count,popularity,genres,country,original_language,overview,tagline,tmdb_id,imdb_id
Dia dos Professores - Adão Seger's Cut,Dia dos Professores - Adão Seger's Cut,pdrooooooooooo,Pedro Bosta Rauler,Adão Seger,Ricaro Priv,10,5000,2023,2023-10-15,0,0.0,0,0.0071,Drama,,pt,,,1192220,
RedBull: Volta às aulas,RedBull: Volta às aulas,Gabriel Torres,Yasmin Toretta,Zachia Alitolip,,30,30,2023,2023-10-16,0,10.0,1,0.0071,,,pt,,,1226043,
Un día en la plaza,Un día en la plaza,Marcelo Bonaldi,Federico Hernández,Marcelo Bonaldi,Julieta López,100,100,2023,2023-10-09,0,10.0,1,0.0071,Science Fiction,Uruguay,es,,,1193596,
Daxonomy,Daxonomy,Austin Snetsky,Austin Snetsky,Peter Burghen,,2000,2500,2023,2023-08-06,5,0.0,0,0.0071,Comedy|Science Fiction,,en,"Recently awoken from cryosleep, Daxon Waxillus III is a world renowned musician who has a bone to pick with the artistic direction his producer has taken his new album in.",You think you know anything about new wave?,1161147,
Didn't You Hear?,Didn't You Hear?,Apollo Nava,Josiah Marshall,Miguel Morales,Charles Braggs,100,100,2023,2023-12-07,7,0.0,0,0.0071,Comedy|Music,,en,"A mockumentary about Josiah, a struggling rapper from Tampa. He's not the best, but least he can talk some big game...",He's doing more work than anybody.,1423736,
Altyn (Alekisok),Altyn (Alekisok),Aleksey Macwilliams,Alekisok,Jenna Tanns,Tom Tianes,10000,13574,2023,2023-11-05,67,0.0,0,0.0071,Action,United States of America,en,"A visual masterpiece showcasing the beauty of nature, from lush forests to vast deserts, serene oceans to towering mountains. Immerse yourself in vibrant colors, mesmerizing sunsets, and the tranquility of untouched wilderness. This film captures the soul of Earth’s most stunning landscapes, celebrating the harmony and wonder of the natural world.",,1425464,tt30394255
The Revenge,The Revenge,,,,,20,21,2023,2023-02-27,5,10.0,1,0.0071,Horror,Denmark,en,A classic stalker horror short film,A teenager leaves his friend to do the chemistry assignment alone. Horror Awaits,1098099,
Resonance Genesis Not Allowed,Resonance Genesis Not Allowed,Aleksey Macwilliams,Aleksey Macwilliams,Alek MacWilliams,Alek,10000,72000,2023,2023-10-03,62,0.0,0,0.0071,Action,,en,"In a neon-drenched cyberpunk city, a rogue hacker uncovers a secret that could dismantle the AI-controlled government. Hunted by cybernetically enhanced enforcers, they navigate the city’s underground, forging uneasy alliances with rebels and criminals. As digital and reality blur, the hacker must decide—freedom or ultimate control?",Resonance Genesis Not Allowed,1426301,tt29939675
The Gator,The Gator,,Halvor Sulheim,Kiera Linn Hoel MacPhee,Anders Braaten,133,140,2023,2023-05-11,39,10.0,1,0.0071,,Norway,en,This exciting and thrilling movies is about John and his friends trying to hunt a monstrous Gator with Gatorhunter Anders. This movie will make you feel scared and excited at the same time.,I ain't fraid of no Gator,1131787,
Eco Choice,Eco Choice,JOBAER H. KHAN,Alaqmar Anjari,Ahn Hyuckjun,JOBAER H. KHAN,98,360,2023,2023-08-31,8,0.0,0,0.0071,,,en,"Two close friends attending a university, discover the transformed impact of sustainable choices on their campus and beyond. The story revolves around their journey of exploration and awareness, leading them to become active for sustainability. They prove that small actions can lead to significant and positive transformations. Their journey inspires others to take responsibility for the planet's well-being and emphasizes the potential for collective action in creating a more sustainable and Eco-friendly world.","Two close friends attending a university, discover the transformative impact of sustainable choices on their campus and beyond.",1264306,tt28812259
