date,category_code,category_name,value_millions,seasonally_adjusted,source,extraction_timestamp
2015-05-01,441,Motor Vehicle and Parts Dealers,0.9,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-06-01,441,Motor Vehicle and Parts Dealers,1.0,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-07-01,441,Motor Vehicle and Parts Dealers,1.0,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-08-01,441,Motor Vehicle and Parts Dealers,1.0,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-09-01,441,Motor Vehicle and Parts Dealers,0.9,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-10-01,441,Motor Vehicle and Parts Dealers,1.0,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-11-01,441,Motor Vehicle and Parts Dealers,0.9,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-12-01,441,Motor Vehicle and Parts Dealers,0.9,False,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-01-01,441,Motor Vehicle and Parts Dealers,87056.0,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-02-01,441,Motor Vehicle and Parts Dealers,85679.0,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-03-01,441,Motor Vehicle and Parts Dealers,89649.0,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-04-01,441,Motor Vehicle and Parts Dealers,90206.0,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-05-01,441,Motor Vehicle and Parts Dealers,90924.0,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-06-01,441,Motor Vehicle and Parts Dealers,90764.0,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-07-01,441,Motor Vehicle and Parts Dealers,91178.0,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-08-01,441,Motor Vehicle and Parts Dealers,91832.0,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-09-01,441,Motor Vehicle and Parts Dealers,92253.0,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-10-01,441,Motor Vehicle and Parts Dealers,91437.0,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-11-01,441,Motor Vehicle and Parts Dealers,92525.0,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-05-01,441,Motor Vehicle and Parts Dealers,0.9,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-06-01,441,Motor Vehicle and Parts Dealers,1.0,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-07-01,441,Motor Vehicle and Parts Dealers,1.0,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-08-01,441,Motor Vehicle and Parts Dealers,1.0,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-09-01,441,Motor Vehicle and Parts Dealers,0.9,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
2015-10-01,441,Motor Vehicle and Parts Dealers,1.0,True,CENSUS_MRTS,2025-10-25 23:04:12.293595
