source,url,published,title,headline_vader,finbert_neg,finbert_neu,finbert_pos,finbert_score,lang,match_metals,match_adjacent_industries
Unknown,https://www.dungogchronicle.com.au/story/9098658/major-aluminium-smelter-in-talks-over-possible-closure/,20251028T001500Z,Major aluminium smelter in talks over possible closure,0.0,0.9277384281158447,0.05349483713507652,0.01876680739223957,-0.9089716207236052,en,True,True
Unknown,https://www.singletonargus.com.au/story/9098658/major-aluminium-smelter-in-talks-over-possible-closure/,20251028T001500Z,Major aluminium smelter in talks over possible closure,0.0,0.9277384281158447,0.05349483713507652,0.01876680739223957,-0.9089716207236052,en,True,True
Unknown,https://www.katherinetimes.com.au/story/9098658/major-aluminium-smelter-in-talks-over-possible-closure/,20251028T001500Z,Major aluminium smelter in talks over possible closure,0.0,0.9277384281158447,0.05349483713507652,0.01876680739223957,-0.9089716207236052,en,True,True
Unknown,https://globalnews.ca/news/11500405/u-s-tariffs-to-raise-costs-delay-oil-and-gas-projects-in-2026-report-says/,20251029T180000Z,"U . S . Tariffs to raise costs , delay oil and gas projects in 2026 , report says",-0.3182,0.8197959661483765,0.08275451511144638,0.09744950383901596,-0.7223464623093605,en,True,True
Unknown,https://www.juneesoutherncross.com.au/story/9099555/double-standards-call-over-billion-dollar-smelter-offer/,20251028T211500Z,Double standards call over billion - dollar smelter offer,0.0,0.6413721442222595,0.3217030167579651,0.03692486882209778,-0.6044472754001617,en,True,True
Unknown,https://www.bunburymail.com.au/story/9099555/double-standards-call-over-billion-dollar-smelter-offer/,20251028T214500Z,Double standards call over billion - dollar smelter offer,0.0,0.6293708086013794,0.3337659239768982,0.03686323016881943,-0.59250757843256,en,True,True
Unknown,https://www.moreechampion.com.au/story/9099555/double-standards-call-over-billion-dollar-smelter-offer/,20251028T214500Z,Double standards call over billion - dollar smelter offer,0.0,0.6413721442222595,0.3217030167579651,0.03692486882209778,-0.6044472754001617,en,True,True
Unknown,https://www.oberonreview.com.au/story/9099555/double-standards-call-over-billion-dollar-smelter-offer/,20251028T214500Z,Double standards call over billion - dollar smelter offer,0.0,0.6413721442222595,0.3217030167579651,0.03692486882209778,-0.6044472754001617,en,True,True
Unknown,https://www.thecourier.com.au/story/9098658/major-aluminium-smelter-in-talks-over-possible-closure/,20251028T000000Z,Major aluminium smelter in talks over possible closure,0.0,0.9277384281158447,0.05349483713507652,0.01876680739223957,-0.9089716207236052,en,True,True
Unknown,https://www.southcoastregister.com.au/story/9098658/major-aluminium-smelter-in-talks-over-possible-closure/,20251028T004500Z,Major aluminium smelter in talks over possible closure,0.0,0.9277384281158447,0.05349483713507652,0.01876680739223957,-0.9089716207236052,en,True,True
